"time_to_decision","time_to_success","time_to_reject","time_to_appoint"
24,24,NA,1
30,NA,30,1
32,NA,32,2
32,NA,32,2
31,31,NA,31
35,35,NA,32
35,35,NA,32
35,NA,35,32
35,35,NA,32
36,NA,36,32
35,35,NA,32
35,35,NA,32
35,NA,35,32
26,26,NA,2
33,33,NA,33
39,39,NA,7
37,37,NA,7
29,29,NA,8
23,NA,23,8
26,26,NA,8
38,38,NA,8
29,29,NA,8
29,29,NA,8
40,NA,40,8
80,80,NA,8
40,40,NA,8
40,40,NA,8
40,NA,40,8
40,40,NA,8
28,NA,28,9
43,NA,43,41
17,17,NA,12
17,17,NA,12
18,18,NA,12
47,47,NA,45
47,47,NA,45
7,7,NA,2
29,NA,29,2
31,31,NA,3
32,NA,32,4
7,7,NA,7
7,7,NA,7
9,NA,9,5
34,34,NA,5
34,NA,34,5
34,34,NA,5
34,34,NA,5
34,NA,34,5
34,34,NA,5
34,34,NA,5
34,NA,34,5
15,15,NA,7
34,NA,34,5
28,NA,28,6
35,NA,35,6
35,35,NA,6
30,NA,30,8
18,18,NA,4
18,18,NA,4
18,18,NA,4
18,18,NA,4
38,38,NA,37
38,NA,38,10
38,38,NA,10
48,48,NA,18
34,NA,34,34
34,NA,34,34
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
36,36,NA,36
10,10,NA,10
25,25,NA,11
40,NA,40,13
12,NA,12,12
39,39,NA,13
7,7,NA,7
32,32,NA,7
32,32,NA,7
32,NA,32,7
32,32,NA,7
32,32,NA,7
32,32,NA,7
45,NA,45,37
45,45,NA,37
49,49,NA,11
50,50,NA,11
20,NA,20,14
48,48,NA,42
43,43,NA,43
43,43,NA,43
44,44,NA,44
45,45,NA,45
24,NA,24,15
24,NA,24,16
19,NA,19,16
27,27,NA,16
32,32,NA,9
49,NA,49,13
49,49,NA,13
49,49,NA,13
49,49,NA,13
34,34,NA,15
34,34,NA,15
34,34,NA,15
34,34,NA,15
36,NA,36,17
36,36,NA,17
36,36,NA,17
26,26,NA,26
33,NA,33,11
33,33,NA,12
36,NA,36,15
37,37,NA,16
25,NA,25,18
25,NA,25,1
25,NA,25,1
12,12,NA,10
47,NA,47,0
32,NA,32,0
32,32,NA,0
32,32,NA,0
15,NA,15,0
7,NA,7,0
14,NA,14,0
7,NA,7,0
24,24,NA,0
15,15,NA,0
11,NA,11,0
11,NA,11,0
8,8,NA,0
7,7,NA,0
7,NA,7,0
10,10,NA,0
11,NA,11,0
7,NA,7,0
12,NA,12,0
25,NA,25,0
30,30,NA,0
28,NA,28,0
27,27,NA,0
11,NA,11,0
21,NA,21,0
27,NA,27,0
27,NA,27,0
30,30,NA,0
17,17,NA,0
44,44,NA,0
32,32,NA,0
11,11,NA,0
11,11,NA,0
7,7,NA,0
33,33,NA,0
28,NA,28,0
11,11,NA,0
15,NA,15,0
37,37,NA,0
37,37,NA,0
20,20,NA,0
11,11,NA,0
26,NA,26,0
25,NA,25,0
11,11,NA,0
26,26,NA,0
24,NA,24,0
30,30,NA,0
8,8,NA,0
8,8,NA,0
40,40,NA,0
40,NA,40,0
8,8,NA,0
15,NA,15,0
7,NA,7,0
19,19,NA,0
9,9,NA,0
19,NA,19,0
36,36,NA,0
36,36,NA,0
7,NA,7,0
23,23,NA,0
33,NA,33,0
7,7,NA,0
7,7,NA,0
36,36,NA,0
7,7,NA,0
7,7,NA,0
8,NA,8,0
12,12,NA,0
32,NA,32,0
25,NA,25,0
49,49,NA,0
8,8,NA,0
41,41,NA,0
8,NA,8,1
33,33,NA,1
43,43,NA,1
16,NA,16,1
65,NA,65,0
16,NA,16,0
16,16,NA,1
7,NA,7,1
8,NA,8,1
8,NA,8,1
8,NA,8,1
18,NA,18,1
8,8,NA,1
8,8,NA,1
16,NA,16,1
8,NA,8,1
18,NA,18,1
13,NA,13,1
8,NA,8,1
9,NA,9,1
9,NA,9,1
28,NA,28,1
19,19,NA,1
8,NA,8,1
18,NA,18,1
7,NA,7,1
7,NA,7,1
9,NA,9,1
11,11,NA,1
11,NA,11,1
7,NA,7,1
9,NA,9,1
18,18,NA,1
8,NA,8,1
30,NA,30,1
7,NA,7,1
30,NA,30,1
7,NA,7,1
25,NA,25,1
30,NA,30,1
25,25,NA,1
25,NA,25,1
7,NA,7,1
7,7,NA,1
108,108,NA,1
108,NA,108,1
119,NA,119,1
29,29,NA,1
119,NA,119,1
119,NA,119,1
33,33,NA,1
33,33,NA,1
11,11,NA,1
8,8,NA,1
NA,NA,NA,1
8,8,NA,1
NA,NA,NA,1
15,15,NA,1
10,10,NA,1
24,24,NA,1
29,29,NA,1
127,127,NA,1
29,29,NA,1
7,7,NA,1
7,7,NA,1
29,29,NA,1
34,34,NA,1
8,8,NA,1
31,31,NA,1
31,31,NA,1
38,38,NA,1
7,7,NA,1
7,NA,7,1
18,18,NA,1
31,31,NA,1
11,11,NA,1
11,NA,11,1
38,NA,38,1
40,NA,40,1
18,NA,18,1
NA,NA,NA,NA
11,11,NA,1
7,7,NA,1
7,7,NA,1
18,NA,18,1
16,NA,16,1
17,17,NA,1
17,NA,17,1
7,7,NA,1
30,30,NA,1
27,27,NA,1
22,22,NA,1
28,28,NA,1
28,28,NA,1
15,15,NA,1
21,NA,21,1
30,30,NA,1
30,30,NA,1
24,24,NA,1
24,24,NA,1
30,NA,30,30
33,33,NA,1
43,NA,43,1
7,7,NA,1
30,30,NA,30
30,30,NA,30
7,NA,7,2
10,NA,10,2
9,NA,9,2
10,NA,10,2
9,NA,9,2
9,NA,9,2
9,NA,9,2
10,NA,10,2
13,NA,13,2
NA,NA,NA,2
31,31,NA,2
29,29,NA,2
30,30,NA,2
26,NA,26,2
26,NA,26,2
30,NA,30,2
30,30,NA,2
30,30,NA,2
8,8,NA,2
30,30,NA,2
30,30,NA,2
20,20,NA,2
9,9,NA,2
28,28,NA,2
20,NA,20,2
13,NA,13,2
14,NA,14,2
19,NA,19,3
17,NA,17,3
17,NA,17,3
8,NA,8,3
19,19,NA,3
11,NA,11,3
9,NA,9,3
11,NA,11,3
9,NA,9,3
7,7,NA,3
10,NA,10,3
NA,NA,NA,3
NA,NA,NA,3
NA,NA,NA,3
27,NA,27,3
27,NA,27,3
27,NA,27,3
27,27,NA,3
31,31,NA,3
31,31,NA,3
27,NA,27,3
7,7,NA,3
8,8,NA,3
9,9,NA,3
31,31,NA,3
16,16,NA,3
16,16,NA,3
7,7,NA,3
7,7,NA,3
16,16,NA,3
16,16,NA,3
11,11,NA,3
7,NA,7,3
19,NA,19,3
7,7,NA,3
7,7,NA,3
10,NA,10,3
10,10,NA,3
10,NA,10,3
10,NA,10,3
14,14,NA,3
8,NA,8,3
11,NA,11,3
10,NA,10,3
10,NA,10,3
3,NA,3,3
9,NA,9,3
7,7,NA,3
25,NA,25,3
10,NA,10,3
10,NA,10,3
12,12,NA,4
15,NA,15,4
16,NA,16,4
15,NA,15,4
13,NA,13,4
8,8,NA,4
10,NA,10,4
8,8,NA,4
10,10,NA,4
32,NA,32,4
32,NA,32,4
32,32,NA,4
36,36,NA,4
32,NA,32,4
32,32,NA,4
32,NA,32,4
32,32,NA,4
11,11,NA,4
13,13,NA,4
10,10,NA,4
19,19,NA,4
10,10,NA,4
11,NA,11,4
9,9,NA,4
12,12,NA,4
10,10,NA,4
30,30,NA,4
52,NA,52,4
25,25,NA,5
37,37,NA,5
36,36,NA,5
11,NA,11,5
7,7,NA,5
9,9,NA,5
14,14,NA,5
7,NA,7,6
8,8,NA,6
28,28,NA,6
23,23,NA,6
23,23,NA,6
NA,NA,NA,6
23,23,NA,6
30,30,NA,6
47,47,NA,6
13,13,NA,6
25,25,NA,7
32,32,NA,7
27,27,NA,7
26,26,NA,7
26,NA,26,7
39,39,NA,7
39,39,NA,7
41,41,NA,7
12,NA,12,8
12,NA,12,8
13,NA,13,8
8,8,NA,8
8,8,NA,8
9,9,NA,8
36,36,NA,8
13,13,NA,8
13,13,NA,8
15,NA,15,9
15,15,NA,9
32,NA,32,9
28,28,NA,9
28,28,NA,9
28,NA,28,9
18,18,NA,9
29,29,NA,9
31,NA,31,9
42,42,NA,9
14,NA,14,9
14,NA,14,9
14,14,NA,9
14,14,NA,9
17,NA,17,9
14,NA,14,9
14,NA,14,9
37,37,NA,9
49,NA,49,9
14,14,NA,9
14,14,NA,9
14,NA,14,9
37,37,NA,9
36,36,NA,9
37,37,NA,9
49,49,NA,9
49,NA,49,9
14,14,NA,9
14,NA,14,9
23,NA,23,10
23,NA,23,10
15,15,NA,10
12,12,NA,10
10,10,NA,10
11,11,NA,10
38,38,NA,10
38,38,NA,10
50,NA,50,10
13,13,NA,10
14,14,NA,10
17,NA,17,11
11,11,NA,11
19,19,NA,11
20,20,NA,11
16,16,NA,11
14,NA,14,11
49,NA,49,11
49,49,NA,11
49,49,NA,11
49,49,NA,11
14,NA,14,11
16,16,NA,11
33,33,NA,12
19,19,NA,12
49,49,NA,12
49,49,NA,12
49,NA,49,12
49,NA,49,12
49,NA,49,12
31,NA,31,13
39,39,NA,13
24,24,NA,13
28,28,NA,13
28,28,NA,13
37,37,NA,13
39,39,NA,13
37,37,NA,13
38,38,NA,13
39,NA,39,13
39,39,NA,13
37,37,NA,13
49,NA,49,13
49,49,NA,13
49,49,NA,13
28,NA,28,13
20,NA,20,14
38,NA,38,14
39,39,NA,14
21,21,NA,15
21,21,NA,15
37,37,NA,15
37,37,NA,15
36,36,NA,15
29,29,NA,16
37,37,NA,16
19,NA,19,16
19,NA,19,16
19,NA,19,16
22,22,NA,16
16,NA,16,16
24,24,NA,17
25,NA,25,17
25,25,NA,18
25,NA,25,18
24,24,NA,20
23,23,NA,22
22,22,NA,22
28,28,NA,23
28,28,NA,23
27,27,NA,25
27,NA,27,26
26,26,NA,26
30,NA,30,30
9,NA,9,1
7,NA,7,1
31,31,NA,31
31,31,NA,31
93,93,NA,31
32,32,NA,32
32,32,NA,32
33,33,NA,33
33,33,NA,33
33,33,NA,33
33,33,NA,33
33,33,NA,33
34,34,NA,34
42,42,NA,42
49,49,NA,42
43,43,NA,43
44,44,NA,44
44,44,NA,44
44,44,NA,44
45,45,NA,45
45,45,NA,45
45,45,NA,45
45,45,NA,45
47,47,NA,45
47,47,NA,45
47,47,NA,45
50,50,NA,50
78,78,NA,52
78,78,NA,52
102,NA,102,54
71,71,NA,54
102,NA,102,54
68,NA,68,59
68,NA,68,59
68,NA,68,59
16,NA,16,2
16,NA,16,2
13,13,NA,8
113,113,NA,68
95,95,NA,68
111,111,NA,70
114,NA,114,74
112,NA,112,74
104,NA,104,76
119,119,NA,76
26,NA,26,19
105,NA,105,77
108,108,NA,78
117,NA,117,78
124,124,NA,81
121,NA,121,82
110,110,NA,82
125,125,NA,82
104,NA,104,57
111,111,NA,57
116,116,NA,57
14,14,NA,3
14,14,NA,3
14,14,NA,3
95,95,NA,33
135,NA,135,94
124,124,NA,124
124,124,NA,124
9,9,NA,8
101,NA,101,70
134,NA,134,131
143,NA,143,138
142,NA,142,142
169,NA,169,144
36,36,NA,5
102,NA,102,75
112,NA,112,87
114,114,NA,76
NA,NA,NA,NA
140,140,NA,135
NA,NA,NA,NA
NA,NA,NA,NA
116,116,NA,114
120,120,NA,115
127,127,NA,127
100,NA,100,NA
37,NA,37,NA
37,NA,37,NA
37,NA,37,NA
45,NA,45,NA
37,NA,37,NA
35,NA,35,NA
32,NA,32,NA
101,NA,101,NA
42,42,NA,1
15,15,NA,1
15,15,NA,1
15,15,NA,1
15,15,NA,1
15,15,NA,1
15,15,NA,1
41,41,NA,1
15,15,NA,1
NA,NA,NA,1
28,28,NA,1
42,42,NA,1
42,42,NA,1
28,28,NA,1
42,42,NA,1
31,31,NA,1
41,41,NA,2
16,16,NA,2
29,29,NA,2
35,35,NA,2
29,29,NA,2
16,16,NA,2
16,16,NA,2
16,16,NA,2
16,16,NA,2
16,NA,16,2
16,16,NA,2
17,17,NA,3
17,17,NA,3
17,17,NA,3
4,4,NA,4
18,18,NA,4
18,18,NA,4
18,18,NA,4
47,47,NA,2
47,47,NA,2
47,47,NA,2
47,47,NA,2
13,NA,13,3
52,52,NA,3
50,50,NA,3
53,53,NA,4
54,54,NA,5
54,54,NA,5
55,55,NA,6
55,55,NA,6
55,55,NA,6
55,55,NA,6
56,56,NA,7
56,56,NA,7
49,49,NA,41
74,74,NA,41
44,NA,44,10
59,59,NA,12
36,36,NA,20
37,37,NA,21
68,68,NA,66
68,68,NA,66
68,68,NA,66
41,41,NA,36
42,42,NA,37
43,43,NA,38
43,43,NA,38
32,32,NA,22
53,NA,53,47
53,53,NA,47
53,53,NA,50
53,53,NA,50
85,85,NA,47
88,88,NA,48
88,88,NA,48
88,NA,88,48
88,88,NA,48
88,88,NA,48
90,90,NA,89
88,88,NA,73
8,8,NA,0
18,18,NA,0
15,15,NA,0
15,15,NA,0
15,15,NA,0
15,15,NA,0
20,20,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
8,8,NA,0
10,NA,10,0
8,8,NA,0
32,32,NA,0
41,NA,41,0
15,15,NA,1
15,15,NA,1
18,18,NA,1
35,35,NA,1
15,15,NA,1
15,15,NA,1
53,53,NA,1
13,13,NA,1
13,13,NA,1
18,18,NA,1
18,18,NA,1
18,18,NA,1
18,18,NA,1
18,18,NA,1
18,18,NA,1
38,38,NA,1
38,38,NA,1
41,41,NA,1
30,30,NA,1
49,49,NA,1
49,49,NA,1
41,41,NA,1
28,28,NA,1
49,49,NA,1
35,35,NA,1
NA,NA,NA,1
36,36,NA,1
53,53,NA,1
53,53,NA,1
54,54,NA,1
18,18,NA,1
NA,NA,NA,NA
36,36,NA,1
35,35,NA,1
43,43,NA,1
48,48,NA,2
29,29,NA,2
29,29,NA,2
29,29,NA,2
29,29,NA,2
16,16,NA,2
16,16,NA,2
16,16,NA,2
16,NA,16,2
19,19,NA,2
16,16,NA,2
16,16,NA,2
16,16,NA,2
50,50,NA,2
50,NA,50,2
19,19,NA,2
19,NA,19,2
19,NA,19,2
50,50,NA,2
55,55,NA,2
55,55,NA,2
47,47,NA,2
29,29,NA,3
17,17,NA,3
17,17,NA,3
17,17,NA,3
47,47,NA,3
56,56,NA,3
57,57,NA,4
57,57,NA,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,4
NA,NA,NA,4
18,NA,18,4
56,56,NA,4
56,NA,56,4
56,56,NA,4
57,57,NA,4
26,26,NA,4
57,57,NA,4
56,56,NA,4
57,57,NA,4
57,57,NA,4
56,56,NA,4
56,56,NA,4
56,56,NA,4
56,56,NA,4
56,56,NA,4
12,NA,12,5
47,47,NA,5
48,NA,48,5
48,NA,48,5
47,47,NA,5
55,55,NA,5
40,NA,40,9
55,55,NA,9
48,NA,48,9
55,55,NA,9
40,NA,40,9
40,NA,40,9
47,47,NA,9
47,NA,47,9
57,57,NA,10
44,NA,44,10
58,58,NA,11
58,58,NA,11
58,58,NA,11
45,NA,45,11
32,32,NA,18
41,41,NA,18
32,32,NA,18
32,32,NA,18
33,33,NA,18
37,37,NA,23
61,61,NA,24
30,30,NA,26
30,30,NA,26
27,27,NA,26
30,30,NA,26
30,30,NA,26
30,30,NA,26
30,30,NA,26
37,37,NA,26
32,32,NA,27
32,32,NA,27
30,NA,30,30
30,NA,30,30
30,NA,30,30
30,30,NA,30
31,31,NA,31
35,35,NA,31
35,35,NA,31
32,32,NA,1
27,27,NA,1
96,96,NA,60
36,36,NA,32
48,NA,48,31
48,48,NA,31
52,52,NA,33
51,51,NA,34
53,53,NA,34
36,36,NA,35
36,36,NA,35
36,36,NA,35
35,35,NA,35
55,55,NA,36
55,55,NA,36
37,37,NA,36
37,37,NA,36
41,41,NA,36
56,56,NA,37
56,56,NA,37
42,42,NA,37
42,42,NA,37
42,42,NA,37
56,56,NA,37
42,42,NA,37
42,42,NA,37
43,43,NA,37
43,43,NA,38
40,40,NA,38
43,43,NA,38
43,43,NA,38
40,40,NA,9
38,38,NA,38
43,43,NA,38
43,43,NA,38
43,43,NA,38
39,39,NA,38
38,38,NA,38
48,48,NA,39
49,49,NA,40
41,41,NA,41
42,42,NA,42
47,47,NA,42
47,47,NA,42
47,47,NA,42
42,42,NA,42
47,47,NA,42
52,52,NA,43
43,43,NA,43
47,NA,47,44
45,45,NA,45
45,45,NA,45
49,49,NA,45
49,49,NA,45
49,NA,49,45
49,49,NA,45
49,49,NA,45
49,49,NA,46
53,53,NA,47
53,53,NA,47
53,53,NA,47
53,53,NA,47
53,53,NA,47
53,53,NA,47
61,61,NA,47
85,85,NA,48
51,51,NA,48
51,51,NA,48
51,51,NA,48
52,52,NA,48
51,51,NA,48
51,51,NA,48
51,51,NA,48
51,51,NA,48
51,51,NA,48
55,55,NA,48
88,88,NA,48
49,49,NA,48
49,49,NA,48
49,49,NA,49
55,55,NA,49
49,49,NA,49
55,55,NA,49
55,55,NA,49
55,55,NA,49
55,55,NA,49
55,55,NA,49
51,51,NA,49
52,52,NA,49
55,55,NA,49
50,50,NA,49
51,51,NA,49
52,52,NA,49
53,53,NA,50
53,53,NA,50
53,53,NA,50
53,53,NA,50
56,56,NA,50
56,56,NA,50
56,56,NA,50
56,56,NA,50
56,56,NA,50
56,56,NA,50
55,55,NA,50
57,57,NA,51
52,52,NA,51
53,53,NA,52
65,65,NA,52
54,54,NA,53
91,NA,91,54
84,84,NA,55
93,93,NA,55
47,47,NA,2
47,47,NA,2
47,47,NA,2
43,43,NA,2
50,50,NA,2
47,47,NA,2
43,43,NA,2
43,43,NA,2
99,99,NA,60
69,69,NA,66
94,94,NA,66
82,82,NA,80
94,94,NA,80
84,84,NA,84
85,85,NA,85
154,154,NA,113
155,155,NA,114
157,157,NA,116
131,131,NA,116
131,131,NA,116
158,NA,158,117
158,158,NA,117
133,133,NA,118
134,134,NA,119
134,NA,134,119
40,40,NA,35
40,40,NA,35
40,40,NA,35
40,40,NA,35
NA,NA,NA,37
65,65,NA,64
166,166,NA,157
166,NA,166,157
163,163,NA,160
11,11,NA,8
39,39,NA,38
41,41,NA,40
41,41,NA,40
42,42,NA,41
48,48,NA,45
42,42,NA,41
34,NA,34,NA
35,NA,35,NA
51,NA,51,NA
35,NA,35,NA
159,NA,159,NA
21,NA,21,NA
128,NA,128,NA
159,NA,159,NA
19,NA,19,NA
15,NA,15,NA
NA,NA,NA,NA
NA,NA,NA,NA
35,NA,35,NA
11,NA,11,NA
NA,NA,NA,NA
NA,NA,NA,NA
11,NA,11,NA
11,NA,11,NA
10,NA,10,NA
42,NA,42,NA
42,NA,42,NA
20,NA,20,NA
19,NA,19,NA
19,NA,19,NA
35,NA,35,NA
19,NA,19,NA
48,NA,48,NA
9,NA,9,NA
NA,NA,NA,NA
34,NA,34,NA
175,NA,175,NA
34,NA,34,NA
NA,NA,NA,NA
19,NA,19,NA
